Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,0106,"Animals; live, n.e.c. in chapter 01",1,No Quantity,0,,,,910,,18990,,,2
H5,2019,2019,2019,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes; dormant, in growth or in flower; chicory plants and roots other than roots of heading no. 1212",1,No Quantity,0,,,,94065,,352004,,,2
H5,2019,2019,2019,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,0602,"Plants, live; n.e.c. in heading no. 0601, (including their roots) cuttings and slips; mushroom spawn",1,No Quantity,0,,,,4464153,,10157894,,,2
H5,2019,2019,2019,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,2101,"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",1,No Quantity,0,,,,,,5761116,,,6
H5,2019,2019,2019,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,2208,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of less than 80% volume; spirits, liqueurs and other spirituous beverages",1,No Quantity,0,,,,12259089,,28567829,,,2
H5,2019,2019,2019,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases and other non-metals",1,No Quantity,0,,,,46319950,,5307062,,,6
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9999,Commodities not elsewhere specified,1,No Quantity,,,,,,,306299166,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9612,"Typewriter and similar ribbons, ink pads, etc",1,No Quantity,,,,,1221,,41395,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9613,"Cigarette and other lighters, lighter parts",1,No Quantity,,,,,131418,,665089,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9614,"Smoking pipes, cigar and cigarette holders, parts",1,No Quantity,,,,,10,,17,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9701,"Paintings, drawings, pastels, collages etc, hand made",1,No Quantity,,,,,3333,,59498,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9702,"Original engravings, prints and lithographs",1,No Quantity,,,,,107,,534,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9703,"Original sculptures and statuary, in any material",1,No Quantity,,,,,3146,,8061,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9506,"Equipment for gymnastics, sports, outdoor games nes",1,No Quantity,,,,,663482,,5140908,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9507,"Fishing and hunting equipment, requisites nes",1,No Quantity,,,,,7723,,197582,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9603,"Brooms, brushes, mops, feather dusters, paint pads etc",1,No Quantity,,,,,797919,,1109219,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9604,Hand sieves and hand riddles,1,No Quantity,,,,,3,,17,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9605,"Travel sets, toilet, sewing, shoe, clothes cleaning",1,No Quantity,,,,,4408,,7861,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9608,"Pens (writing), mechanical pencils, parts",1,No Quantity,,,,,987180,,3282588,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9401,"Seats (except dentist, barber, etc chairs)",1,No Quantity,,,,,12085711,,25344171,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9403,Other furniture and parts thereof,1,No Quantity,,,,,20227957,,27701026,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9404,"Mattress supports, mattresses, bedding",1,No Quantity,,,,,262200,,766154,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9502,Dolls representing only human beings,1,No Quantity,,,,,11837,,83547,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9503,"Other toys, scale models, puzzles, etc",1,No Quantity,,,,,2665692,,9755459,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9504,"Articles for funfairs, table and parlour games",1,No Quantity,,,,,95801,,327954,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9110,"Watch and clock movements not fully assembled, etc",1,No Quantity,,,,,7,,129,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9111,Watch cases and parts thereof,1,No Quantity,,,,,1,,3518,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9201,"Pianos, harpsichords, keyboard string instruments nes",1,No Quantity,,,,,37969,,53531,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9202,Other string musical instruments,1,No Quantity,,,,,7905,,230341,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9204,"Accordions and similar instruments, mouth organs",1,No Quantity,,,,,115,,490,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9205,"Wind musical instruments nes (brass, wood,bagpipes)",1,No Quantity,,,,,139,,1457,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9102,"Watches with case of, or clad with, of base metal",1,No Quantity,,,,,9038,,16265,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9103,"Clocks with watch movements, except vehicle panel",1,No Quantity,,,,,179,,1981,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9104,"Instrument panel clocks etc for vehicles, aircraft etc",1,No Quantity,,,,,7,,2038,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9105,Other clocks,1,No Quantity,,,,,3878,,13922,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9106,"Time of day recorders, time registers, etc",1,No Quantity,,,,,21246,,2133768,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9107,Time switches,1,No Quantity,,,,,41,,5486,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9028,"Gas, liquid or electricity supply or production meters",1,No Quantity,,,,,37179,,490066,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9029,"Revolution counters, taximeters, speedometers, etc",1,No Quantity,,,,,1852,,137792,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9030,"Instruments to check or measure electricity, radiation",1,No Quantity,,,,,9870,,2119358,,,0
H1,2000,2000,2000,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,9031,Measuring or checking instruments nes,1,No Quantity,,,,,22237,,1184262,,,0
