Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,0401,"Milk and cream, neither concentrated nor sweetened",1,No Quantity,,,,,,,1346413,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,0511,"Animal products nes, dead animals (non-food)",1,No Quantity,,,,,5312144,,4087094,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, corms, etc., chicory plant (non-food)",1,No Quantity,,,,,1968722,,6006222,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,0602,"Live plants nes, roots, cuttings, mushroom spawn",1,No Quantity,,,,,125803,,776259,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,1504,"Fish, marine mammal fat or oil not chemically modified",1,No Quantity,,,,,16088814,,3120927,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,2201,"Unsweetened beverage waters, ice and snow",1,No Quantity,,,,,,,20244,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,2307,"Wine lees, argol",1,No Quantity,,,,,,,649023,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases, non-metallic elements",1,No Quantity,,,,,655197,,465285,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,2939,"Veg alkaloids, their salts, ethers, esters and derivs",1,No Quantity,,,,,180,,18098,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3003,"Medicaments mixed together for therapeutic use, bulk",1,No Quantity,,,,,489687,,452479,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3701,"Photographic plate, film, not rolls, exposed, paper",1,No Quantity,,,,,4966,,72136,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3702,"Photograph film, rolls, unexposed, not paper",1,No Quantity,,,,,4184,,179797,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3706,"Cinematograph film, exposed and developed",1,No Quantity,,,,,795,,30392,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3917,"Plastic tube, pipe, hose and fittings",1,No Quantity,,,,,,,5666708,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3923,"Containers, bobbins and packages, of plastics",1,No Quantity,,,,,,,29319048,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3926,Plastic articles nes,1,No Quantity,,,,,1202669,,5988686,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4012,"Tyres nes, retreaded, used pneumatic, solid, cushioned",1,No Quantity,,,,,,,582316,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, camera cases, handbags, etc",1,No Quantity,,,,,,,732301,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4205,"Articles of leather and composition leather, nes",1,No Quantity,,,,,2320,,49085,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4403,Wood in the rough or roughly squared,1,No Quantity,,,,,,,54685300,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4406,Railway or tramway sleepers (cross-ties) of wood,1,No Quantity,,,,,2910606,,739041,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4407,"Wood sawn, chipped lengthwise, sliced or peeled",1,No Quantity,,,,,,,334612622,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4411,Fibreboard of wood or other ligneous materials,1,No Quantity,,,,,,,111942462,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood",1,No Quantity,,,,,63680025,,38480223,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,5701,"Carpets and other textile floor covering, knotted",1,No Quantity,,,,,2457,,31685,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,5702,"Carpets, woven, not tufted, flocked",1,No Quantity,,,,,7678,,48294,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,5704,"Carpets, floor coverings of felt, not tufted, flocked",1,No Quantity,,,,,91965,,154428,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6101,"Mens, boys overcoats, capes, cloak, etc, knit, crochet",1,No Quantity,,,,,561,,21710,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6102,"Womens, girls overcoats, etc, knit or crochet",1,No Quantity,,,,,1637,,82928,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6103,"Mens, boys suits,jackets,trousers etc knit or crochet",1,No Quantity,,,,,10992,,468555,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6104,"Womens, girls suit, dress, skirt, etc, knit or crochet",1,No Quantity,,,,,25196,,1047992,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6105,"Mens, boys shirts, knit or crochet",1,No Quantity,,,,,2607,,142630,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6107,"Mens, boys underwear, nightwear, etc, knit or crochet",1,No Quantity,,,,,4424,,104874,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6108,"Womens, girls underwear, nightwear, etc knit, crochet",1,No Quantity,,,,,13889,,377040,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6110,"Jerseys, pullovers, cardigans, etc, knit or crochet",1,No Quantity,,,,,45498,,1525659,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6112,"Track suits, ski suits and swimwear, knit or crochet",1,No Quantity,,,,,8407,,198661,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6117,"Clothing accessories or parts nes, knit or crochet",1,No Quantity,,,,,1356,,52388,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6201,"Mens, boys overcoats, capes, windjackets etc, woven",1,No Quantity,,,,,20603,,473540,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6202,"Womens, girls overcoats, capes, windjackets etc, woven",1,No Quantity,,,,,7044,,290059,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6203,"Mens or boys suits, jackets, trousers etc not knit",1,No Quantity,,,,,254672,,12454966,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6204,"Womens, girls suits, jacket, dress, skirt,  etc, woven",1,No Quantity,,,,,61743,,3244035,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6205,Men's or boys' shirts,1,No Quantity,,,,,39196,,785335,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6206,"Womens or girls' blouses, shirts and shirt-blouses",1,No Quantity,,,,,9953,,477598,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6207,"Mens, boys underwear, nightwear, not knit or crochet",1,No Quantity,,,,,566,,12760,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6208,"Womens, girls underwear, nightwear, not knit, crochet",1,No Quantity,,,,,34188,,167744,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6210,Garments made up of felt or coated fabric,1,No Quantity,,,,,1084,,17538,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6211,"Track suits, ski suits and swimwear, other garments",1,No Quantity,,,,,8259,,183155,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6214,"Shawls, scarves, mufflers, mantillas, veils etc",1,No Quantity,,,,,2417,,82800,,,4
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6301,Blankets and travelling rugs,1,No Quantity,,,,,31511,,243985,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6506,"Headgear, not felt, plaited, knit or crochet",1,No Quantity,,,,,,,110822,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6904,"Ceramic building bricks, flooring blocks and tiles",1,No Quantity,,,,,328841,,38174,,,0
H1,2000,2000,2000,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6909,"Ceramic laboratory, technical, packaging articles nes",1,No Quantity,,,,,,,129414,,,0
