Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,0101,"Horses, asses, mules and hinnies; live",1,No Quantity,0,,,,0,,1970967,,,0
H5,2019,2019,2019,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,0102,Bovine animals; live,1,No Quantity,0,,,,0,,177900839,,,0
H5,2019,2019,2019,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,0103,Swine; live,1,No Quantity,0,,,,0,,71755474,,,0
H5,2019,2019,2019,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,0104,Sheep and goats; live,1,No Quantity,0,,,,0,,61091092,,,0
H5,2019,2019,2019,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",1,No Quantity,0,,,,0,,144383404,,,0
H5,2019,2019,2019,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,0106,"Animals; live, n.e.c. in chapter 01",1,No Quantity,0,,,,,,12200580,,,6
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9999,Commodities not elsewhere specified,1,No Quantity,,,,,,,451030000,,,0
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9612,"Typewriter and similar ribbons, ink pads, etc",1,No Quantity,,,,,293800,,4407000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9613,"Cigarette and other lighters, lighter parts",1,No Quantity,,,,,12563,,82000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9614,"Smoking pipes, cigar and cigarette holders, parts",1,No Quantity,,,,,942,,21000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9701,"Paintings, drawings, pastels, collages etc, hand made",1,No Quantity,,,,,22288,,1599000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9702,"Original engravings, prints and lithographs",1,No Quantity,,,,,1294,,20000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9703,"Original sculptures and statuary, in any material",1,No Quantity,,,,,4020,,238000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9506,"Equipment for gymnastics, sports, outdoor games nes",1,No Quantity,,,,,3685907,,20677000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9507,"Fishing and hunting equipment, requisites nes",1,No Quantity,,,,,345991,,2528000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9603,"Brooms, brushes, mops, feather dusters, paint pads etc",1,No Quantity,,,,,3728496,,7814000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9604,Hand sieves and hand riddles,1,No Quantity,,,,,1778,,10000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9605,"Travel sets, toilet, sewing, shoe, clothes cleaning",1,No Quantity,,,,,109792,,376000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9608,"Pens (writing), mechanical pencils, parts",1,No Quantity,,,,,360977,,2337000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9401,"Seats (except dentist, barber, etc chairs)",1,No Quantity,,,,,64621305,,441059000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9403,Other furniture and parts thereof,1,No Quantity,,,,,44016646,,92548000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9404,"Mattress supports, mattresses, bedding",1,No Quantity,,,,,4737211,,25938000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9502,Dolls representing only human beings,1,No Quantity,,,,,180436,,3129000,,,4
H1,2000,2000,2000,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,9503,"Other toys, scale models, puzzles, etc",1,No Quantity,,,,,6479166,,38464000,,,4
