Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,0101,"Live horses, asses, mules and hinnies",1,No Quantity,,,,,231540,,215301,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,0105,"Live poultry, domestic fowls, ducks, geese, etc.",1,No Quantity,,,,,75,,1092,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,0106,"Animals, live, except farm animals",1,No Quantity,,,,,700,,2367,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,0511,"Animal products nes, dead animals (non-food)",1,No Quantity,,,,,30935,,23978,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, corms, etc., chicory plant (non-food)",1,No Quantity,,,,,22345,,90516,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,0602,"Live plants nes, roots, cuttings, mushroom spawn",1,No Quantity,,,,,151390,,106994,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,1504,"Fish, marine mammal fat or oil not chemically modified",1,No Quantity,,,,,394975,,106685,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,2003,"Mushroom, truffle, prepared or preserved, not vinegar",1,No Quantity,,,,,4063,,7839,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,2716,Electrical energy,1,No Quantity,,,,,,,1542201,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases, non-metallic elements",1,No Quantity,,,,,1447048,,294431,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,2933,"Heterocyclics, nitrogen hetero atom only, nucleic acid",1,No Quantity,,,,,,,1844060,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,3701,"Photographic plate, film, not rolls, exposed, paper",1,No Quantity,,,,,5688,,62338,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,3702,"Photograph film, rolls, unexposed, not paper",1,No Quantity,,,,,3169,,128116,,,4
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,3706,"Cinematograph film, exposed and developed",1,No Quantity,,,,,799,,18229,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4011,"New pneumatic tyres, of rubber",1,No Quantity,,,,,178593,,537620,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4012,"Tyres nes, retreaded, used pneumatic, solid, cushioned",1,No Quantity,,,,,56022,,72875,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4013,Inner tubes of rubber,1,No Quantity,,,,,27071,,69079,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, camera cases, handbags, etc",1,No Quantity,,,,,26122,,516376,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4403,Wood in the rough or roughly squared,1,No Quantity,,,,,3585662383,,117792462,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4406,Railway or tramway sleepers (cross-ties) of wood,1,No Quantity,,,,,7163520,,1646776,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4407,"Wood sawn, chipped lengthwise, sliced or peeled",1,No Quantity,,,,,2203796976,,400172629,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood",1,No Quantity,,,,,89932393,,60050797,,,0
H1,2000,2000,2000,4,0,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,5701,"Carpets and other textile floor covering, knotted",1,No Quantity,,,,,4,,160,,,0
