Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,0511,"Animal products nes, dead animals (non-food)",1,No Quantity,,,,,1464423,,2016552,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,0602,"Live plants nes, roots, cuttings, mushroom spawn",1,No Quantity,,,,,15211993,,8213212,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,2707,Coal-tar distillation products including oils,1,No Quantity,,,,,42528204,,5741019,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases, non-metallic elements",1,No Quantity,,,,,3358051,,2833892,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,3701,"Photographic plate, film, not rolls, exposed, paper",1,No Quantity,,,,,820887,,6483509,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,3702,"Photograph film, rolls, unexposed, not paper",1,No Quantity,,,,,,,51666452,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,4010,Conveyor and similar belts or belting of rubber,1,No Quantity,,,,,,,6017638,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,4012,"Tyres nes, retreaded, used pneumatic, solid, cushioned",1,No Quantity,,,,,,,4094469,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, camera cases, handbags, etc",1,No Quantity,,,,,,,17269138,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,4408,Veneers and sheets for plywood etc <6mm thick,1,No Quantity,,,,,,,213130029,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,4409,Wood continuously shaped along any edges,1,No Quantity,,,,,,,197587845,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood",1,No Quantity,,,,,1355838949,,1046471703,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5407,"Woven synthetic filament yarn, monofilament >67dtex",1,No Quantity,,,,,,,239289030,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5408,"Woven fabric of artificial filament, monofilament yarn",1,No Quantity,,,,,8451,,109848,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5513,"Woven fabric >85% synth + cotton, <170g/m2 unbl/blchd",1,No Quantity,,,,,,,63717749,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5514,"Woven fabric >85% synth+cotton, >170g/m2 unbl/bleached",1,No Quantity,,,,,,,29857365,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5801,"Woven pile, chenille fabric, not terry towel, w >30cm",1,No Quantity,,,,,48803,,695662,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5803,Gauze,1,No Quantity,,,,,,,85297,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5804,"Tulles, other nets (not woven, knit or crochet), lace",1,No Quantity,,,,,,,190072,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5806,"Narrow woven fabric, except labels, etc, bolducs",1,No Quantity,,,,,322884,,3896249,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5807,"Label, badge, etc, in piece or strip, not embroidered",1,No Quantity,,,,,139319,,3808429,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,5811,Quilted textile products in piece (not embroidered),1,No Quantity,,,,,,,302873,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6117,"Clothing accessories or parts nes, knit or crochet",1,No Quantity,,,,,432492,,6805492,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6207,"Mens, boys underwear, nightwear, not knit or crochet",1,No Quantity,,,,,171552,,3685955,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6208,"Womens, girls underwear, nightwear, not knit, crochet",1,No Quantity,,,,,463282,,11262581,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6210,Garments made up of felt or coated fabric,1,No Quantity,,,,,53147,,1335906,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6211,"Track suits, ski suits and swimwear, other garments",1,No Quantity,,,,,399318,,11481430,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6217,"Clothing accessories or parts nes, not knit or crochet",1,No Quantity,,,,,125815,,2034341,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6301,Blankets and travelling rugs,1,No Quantity,,,,,56200,,466129,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6302,"Bed, table, toilet and kitchen linens",1,No Quantity,,,,,1048475,,10296525,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6506,"Headgear, not felt, plaited, knit or crochet",1,No Quantity,,,,,833328,,8111435,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,6904,"Ceramic building bricks, flooring blocks and tiles",1,No Quantity,,,,,71208747,,6788129,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,7007,"Safety glass (toughened, tempered, laminated)",1,No Quantity,,,,,9099286,,13860152,,,4
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,7011,Glass envelopes for electrical or electronic lamps etc,1,No Quantity,,,,,,,127230495,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,7103,"Mounted precious or semi-precious stones, not diamonds",1,No Quantity,,,,,,,237938,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,7105,Dust and powder of precious or semi-precious stones,1,No Quantity,,,,,,,30827,,,0
H1,2000,2000,2000,4,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,7226,"Flat-rolled alloy steel nes, <600mm wide",1,No Quantity,,,,,319000,,306990,,,0
