Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0101,"Live horses, asses, mules and hinnies",1,No Quantity,,,,,26209669,,38017000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0102,Live bovine animals,1,No Quantity,,,,,59304576,,84127000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0103,Live swine,1,No Quantity,,,,,1225383,,1323000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0104,Live sheep and goats,1,No Quantity,,,,,3122141,,5341000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0105,"Live poultry, domestic fowls, ducks, geese, etc.",1,No Quantity,,,,,84131,,730000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0106,"Animals, live, except farm animals",1,No Quantity,,,,,331501,,2099000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0511,"Animal products nes, dead animals (non-food)",1,No Quantity,,,,,12353678,,7152000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, corms, etc., chicory plant (non-food)",1,No Quantity,,,,,1221108,,3580000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,0602,"Live plants nes, roots, cuttings, mushroom spawn",1,No Quantity,,,,,14799149,,17486000,,,0
H1,2000,2000,2000,4,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,2716,Electrical energy,1,No Quantity,,,,,,,145949000,,,0
