Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0302,"Fish, fresh or chilled, whole",1,No Quantity,,,,,11487240,,7460164,,,4
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0511,"Animal products nes, dead animals (non-food)",1,No Quantity,,,,,3691345,,5717525,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0602,"Live plants nes, roots, cuttings, mushroom spawn",1,No Quantity,,,,,145363,,82044,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases, non-metallic elements",1,No Quantity,,,,,52834038,,59173335,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,3701,"Photographic plate, film, not rolls, exposed, paper",1,No Quantity,,,,,95779,,1006654,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,3702,"Photograph film, rolls, unexposed, not paper",1,No Quantity,,,,,29500,,522945,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,4012,"Tyres nes, retreaded, used pneumatic, solid, cushioned",1,No Quantity,,,,,800265,,493615,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, camera cases, handbags, etc",1,No Quantity,,,,,296094,,937894,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,4407,"Wood sawn, chipped lengthwise, sliced or peeled",1,No Quantity,,,,,4481625572,,732933589,,,0
H1,2000,2000,2000,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood",1,No Quantity,,,,,651456211,,220688843,,,0
