Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,0101,"Horses, asses, mules and hinnies; live",1,No Quantity,,,,,,,81096,,,0
H4,2016,2016,2016,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,0104,Sheep and goats; live,1,No Quantity,,,,,,,7405491,,,0
H4,2016,2016,2016,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",1,No Quantity,,,,,,,8058256,,,0
H4,2016,2016,2016,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,0106,"Animals; live, n.e.c. in chapter 01",1,No Quantity,,,,,,,23635,,,0
H4,2016,2016,2016,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,0204,"Meat of sheep or goats; fresh, chilled or frozen",1,No Quantity,,,,,748191,,3955889,,,4
H4,2016,2016,2016,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",1,No Quantity,,,,,,,452972,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9701,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages and similar decorative plaques.",1,No Quantity,,,,,,,1360,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9703,"Original sculptures and statuary, in any material.",1,No Quantity,,,,,,,903,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9605,"Travel sets for personal toilet, sewing or shoe or clothes cleaning.",1,No Quantity,,,,,4400,,52361,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9608,"Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating stylos; propelling or sliding pencils; pen-holders, pencil-holders and similar holders; parts (including caps and clips) of t",1,No Quantity,,,,,96972,,1858680,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9609,"Pencils (other than pencils of heading 96.08), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks.",1,No Quantity,,,,,,,617668,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9612,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether or not on spools or in cartridges; ink-pads, whether or not inked, with or without boxes.",1,No Quantity,,,,,3276,,97315,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9613,"Cigarette lighters and other lighters, whether or not mechanical or electrical, and parts thereof other than flints and wicks.",1,No Quantity,,,,,,,270530,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9614,"Smoking pipes (including pipe bowls) and cigar or cigarette holders, and parts thereof.",1,No Quantity,,,,,,,2148180,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9504,"Articles for funfair, table or parlour games, including pintables, billiards, special tables for casino games and automatic bowling alley equipment.",1,No Quantity,,,,,,,3002766,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9506,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table- tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools.",1,No Quantity,,,,,311085,,2727673,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9507,"Fishing rods, fish-hooks and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy birds (other than those of heading 92.08 or 97.05) and similar hunting or shooting requisites.",1,No Quantity,,,,,197,,7176,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9601,"Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by moulding).",1,No Quantity,,,,,,,55052,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9603,"Brooms, brushes (including brushes constituting parts of machines, appliances or vehicles), hand-operated mechanical floor sweepers, not motorised, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads and rollers; squee",1,No Quantity,,,,,315590,,2202445,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9604,Hand sieves and hand riddles.,1,No Quantity,,,,,64,,699,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9401,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",1,No Quantity,,,,,694187,,4443513,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9403,Other furniture and parts thereof.,1,No Quantity,,,,,3713450,,14190782,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9404,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or",1,No Quantity,,,,,305920,,2649601,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9405,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereof not elsewhere spe",1,No Quantity,,,,,,,3938737,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9406,Prefabricated buildings.,1,No Quantity,,,,,2604,,8802,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9503,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (scale) models and similar recreational models, working or not; puzzles of all kinds.",1,No Quantity,,,,,,,961972,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9202,"Other string musical instruments (for example, guitars, violins, harps).",1,No Quantity,,,,,,,441197,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9205,"Other wind musical instruments (for example, clarinets, trumpets, bagpipes).",1,No Quantity,,,,,,,14356,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9206,"Percussion musical instruments (for example, drums, xylophones, cymbals, castanets, maracas).",1,No Quantity,,,,,3381,,55355,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9207,"Musical instruments, the sound of which is produced, or must be amplified, electrically (for example, organs, guitars, accordions).",1,No Quantity,,,,,9,,337,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9208,"Musical boxes, fairground organs, mechanical street organs, mechanical singing birds, musical saws and other musical instruments not falling within any other heading of this Chapter; decoy calls of all kinds; whistles, call horns and other mouth-blown sou",1,No Quantity,,,,,,,6660,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9209,"Parts (for example, mechanisms for musical boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds.",1,No Quantity,,,,,,,8715,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9105,Other clocks.,1,No Quantity,,,,,,,352340,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9106,"Time of day recording apparatus and apparatus for measuring, recording or otherwise indicating intervals of time, with clock or watch movement or with synchronous motor (for example, time-registers, time-recorders).",1,No Quantity,,,,,,,128515,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9108,"Watch movements, complete and assembled.",1,No Quantity,,,,,5,,3116,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9109,"Clock movements, complete and assembled.",1,No Quantity,,,,,,,14836,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9113,"Watch straps, watch bands and watch bracelets, and parts thereof.",1,No Quantity,,,,,,,5655,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9114,Other clock or watch parts.,1,No Quantity,,,,,,,3195,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9032,Automatic regulating or controlling instruments and apparatus.,1,No Quantity,,,,,,,1494934,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9033,"Parts and accessories (not specified or included elsewhere in this Chapter) for machines, appliances, instruments or apparatus of Chapter 90.",1,No Quantity,,,,,,,30369,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9101,"Wrist-watches, pocket-watches and other watches, including stop-watches, with case of precious metal or of metal clad with precious metal.",1,No Quantity,,,,,,,358236,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9102,"Wrist-watches, pocket-watches and other watches, including stop-watches, other than those of heading 91.01.",1,No Quantity,,,,,,,501880,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9103,"Clocks with watch movements, excluding clocks of heading 91.04.",1,No Quantity,,,,,,,7520,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9104,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels.",1,No Quantity,,,,,,,783,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9026,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 90.14, 90.15, 90.28 or 9",1,No Quantity,,,,,1699,,228394,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9027,"Instruments and apparatus for physical or chemical analysis (for example, polarimeters, refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or",1,No Quantity,,,,,9178,,2592690,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9028,"Gas, liquid or electricity supply or production meters, including calibrating meters therefor.",1,No Quantity,,,,,,,1739414,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9029,"Revolution counters, production counters, taximeters, mileometers, pedometers and the like; speed indicators and tachometers, other than those of heading 90.14 or 90.15; stroboscopes.",1,No Quantity,,,,,538,,79056,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9030,"Oscilloscopes, spectrum analysers and other instruments and apparatus for measuring or checking electrical quantities, excluding meters of heading 90.28; instruments and apparatus for measuring or detecting alpha, beta, gamma, X-ray, cosmic or other ionis",1,No Quantity,,,,,10898,,5658987,,,4
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter; profile projectors.",1,No Quantity,,,,,,,349425,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments.",1,No Quantity,,,,,,,21396471,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9019,"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus.",1,No Quantity,,,,,,,753842,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9021,"Orthopaedic appliances, including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect",1,No Quantity,,,,,,,3167838,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9022,"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators,",1,No Quantity,,,,,,,6204694,,,0
H3,2013,2013,2013,4,0,1,Import,275,State of Palestine,PSE,0,World,WLD,,,,,,,,9024,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics).",1,No Quantity,,,,,,,90350,,,0
