Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,106,Other live animals.,1,No Quantity,,,,,3416,,166822,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",1,No Quantity,,,,,164971,,566020,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",1,No Quantity,,,,,270535,,837985,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1,No Quantity,,,,,5441645,,11016532,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases and other non-metals.",1,No Quantity,,,,,220398,,680884,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs.",1,No Quantity,,,,,363368,,4855965,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",1,No Quantity,,,,,3264,,190470,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber.",1,No Quantity,,,,,1766246,,777732,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toile",1,No Quantity,,,,,1894448,,33814802,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood.",1,No Quantity,,,,,5082256,,5142657,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.",1,No Quantity,,,,,387898,,207397,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,6112,"Track suits, ski suits and swimwear, knitted or crocheted.",1,No Quantity,,,,,131153,,5032504,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,6117,"Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.",1,No Quantity,,,,,30665,,908816,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,6207,"Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,135234,,1696958,,,0
H3,2010,2010,2010,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,6208,"Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,125406,,3359900,,,0
