Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,0106,Other live animals.,1,No Quantity,,,,,102899,,1451441,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",1,No Quantity,,,,,173894,,11055603,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",1,No Quantity,,,,,1926783,,5560496,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1,No Quantity,,,,,20936970,,42958359,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases and other non-metals.",1,No Quantity,,,,,10667620,,28556599,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs.",1,No Quantity,,,,,13975414,,138488401,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",1,No Quantity,,,,,945759,,21481932,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber.",1,No Quantity,,,,,6789612,,24807796,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toile",1,No Quantity,,,,,12446782,,264521048,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm.",1,No Quantity,,,,,363326471,,132290301,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood.",1,No Quantity,,,,,121090253,,179878180,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.",1,No Quantity,,,,,9547943,,7121048,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6112,"Track suits, ski suits and swimwear, knitted or crocheted.",1,No Quantity,,,,,742517,,24017446,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6117,"Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.",1,No Quantity,,,,,842456,,18499159,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6207,"Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,69853,,2201352,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6208,"Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,190012,,6836008,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6210,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.",1,No Quantity,,,,,2062741,,49682772,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6211,"Track suits, ski suits and swimwear; other garments.",1,No Quantity,,,,,1731247,,54203858,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6301,Blankets and travelling rugs.,1,No Quantity,,,,,343512,,3726064,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6506,"Other headgear, whether or not lined or trimmed.",1,No Quantity,,,,,940518,,9198386,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6602,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",1,No Quantity,,,,,30112,,314320,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like.",1,No Quantity,,,,,192094,,115022,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,7003,"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked.",1,No Quantity,,,,,7538510,,3515587,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,7007,"Safety glass, consisting of toughened (tempered) or laminated glass.",1,No Quantity,,,,,22972927,,66427460,,,0
H3,2010,2010,2010,4,0,1,Import,792,Turkey,TUR,0,World,WLD,,,,,,,,7103,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily strung for convenience of transport.",1,No Quantity,,,,,113675,,2753318,,,0
