Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,0106,Other live animals.,1,No Quantity,,,,,3514,,154446,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",1,No Quantity,,,,,1116978,,1170900,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",1,No Quantity,,,,,384186,,2084075,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1,No Quantity,,,,,2303052,,8175031,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2616,Precious metal ores and concentrates.,1,No Quantity,,,,,,,637,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases and other non-metals.",1,No Quantity,,,,,18929621,,3399493,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2843,"Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals.",1,No Quantity,,,,,,,20113,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2908,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols.",1,No Quantity,,,,,,,607,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2914,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",1,No Quantity,,,,,,,601501,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2918,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",1,No Quantity,,,,,,,1215767,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2921,Amine-function compounds.,1,No Quantity,,,,,,,448105,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2939,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.",1,No Quantity,,,,,,,87907,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs.",1,No Quantity,,,,,407116,,2630286,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",1,No Quantity,,,,,4608,,258048,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber.",1,No Quantity,,,,,2853372,,7157920,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toile",1,No Quantity,,,,,1190115,,20181380,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood.",1,No Quantity,,,,,51415760,,34570247,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.",1,No Quantity,,,,,17848372,,10572387,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6112,"Track suits, ski suits and swimwear, knitted or crocheted.",1,No Quantity,,,,,153204,,6394947,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6117,"Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.",1,No Quantity,,,,,281460,,5071035,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6207,"Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,90152,,978622,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6208,"Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,140997,,3148061,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6210,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.",1,No Quantity,,,,,366312,,10514282,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6211,"Track suits, ski suits and swimwear; other garments.",1,No Quantity,,,,,342329,,8157231,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6301,Blankets and travelling rugs.,1,No Quantity,,,,,123924,,1208022,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6506,"Other headgear, whether or not lined or trimmed.",1,No Quantity,,,,,61383,,1682723,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6602,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",1,No Quantity,,,,,2565,,32719,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like.",1,No Quantity,,,,,11151779,,1977954,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,7003,"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked.",1,No Quantity,,,,,675663,,519827,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,7007,"Safety glass, consisting of toughened (tempered) or laminated glass.",1,No Quantity,,,,,4681709,,9645497,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,7321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel.",1,No Quantity,,,,,1905555,,8722444,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8211,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",1,No Quantity,,,,,183600,,4020348,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8212,Razors and razor blades (including razor blade blanks in strips).,1,No Quantity,,,,,43343,,1050438,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8403,Central heating boilers other than those of heading 84.02.,1,No Quantity,,,,,623387,,4364423,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8411,"Turbo-jets, turbo-propellers and other gas turbines.",1,No Quantity,,,,,1048,,186676,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8412,Other engines and motors.,1,No Quantity,,,,,895023,,9747363,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8413,"Pumps for liquids, whether or not fitted with a measuring device; liquid elevators.",1,No Quantity,,,,,1333130,,27301569,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8414,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters.",1,No Quantity,,,,,1969953,,37658297,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",1,No Quantity,,,,,4811716,,50884836,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8417,"Industrial or laboratory furnaces and ovens, including incinerators, non-electric.",1,No Quantity,,,,,427086,,2487082,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.",1,No Quantity,,,,,4103359,,34716759,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8419,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting",1,No Quantity,,,,,1581087,,26994696,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8420,"Calendering or other rolling machines, other than for metals or glass, and cylinders therefor.",1,No Quantity,,,,,63159,,1510665,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases.",1,No Quantity,,,,,1365597,,24351678,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8422,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers;",1,No Quantity,,,,,886502,,19352836,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8423,"Weighing machinery (excluding balances of a sensitivity of 5 cg or better), including weight operated counting or checking machines; weighing machine weights of all kinds.",1,No Quantity,,,,,338781,,3551724,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8424,"Mechanical appliances (whether or not hand-operated) for projecting, dispersing or spraying liquids or powders; fire extinguishers, whether or not charged; spray guns and similar appliances; steam or sand blasting machines and similar jet projecting machi",1,No Quantity,,,,,864952,,10622037,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8426,"Ships' derricks; cranes, including cable cranes; mobile lifting frames, straddle carriers and works trucks fitted with a crane.",1,No Quantity,,,,,682436,,6336883,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8428,"Other lifting, handling, loading or unloading machinery (for example, lifts, escalators, conveyors, teleferics).",1,No Quantity,,,,,2017525,,14271891,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8430,"Other moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring machinery, for earth, minerals or ores; pile-drivers and pile-extractors; snow-ploughs and snow-blowers.",1,No Quantity,,,,,555204,,6529692,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers.",1,No Quantity,,,,,2026962,,14406315,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8433,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.",1,No Quantity,,,,,3687642,,39799211,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8434,Milking machines and dairy machinery.,1,No Quantity,,,,,99667,,3574479,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8435,"Presses, crushers and similar machinery used in the manufacture of wine, cider, fruit juices or similar beverages.",1,No Quantity,,,,,8464,,138023,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8436,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery, including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders.",1,No Quantity,,,,,1996370,,21143690,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8437,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables; machinery used in the milling industry or for the working of cereals or dried leguminous vegetables, other than farm-type machinery.",1,No Quantity,,,,,127048,,1478539,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8438,"Machinery, not specified or included elsewhere in this Chapter, for the industrial preparation or manufacture of food or drink, other than machinery for the extraction or preparation of animal or fixed vegetable fats or oils.",1,No Quantity,,,,,715112,,28715801,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8439,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.,1,No Quantity,,,,,209145,,3270825,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8440,"Book-binding machinery, including book-sewing machines.",1,No Quantity,,,,,100978,,6400365,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8441,"Other machinery for making up paper pulp, paper or paperboard, including cutting machines of all kinds.",1,No Quantity,,,,,130414,,1600384,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8442,"Machinery, apparatus and equipment (other than the machine-tools of headings 84.56 to 84.65) for preparing or making plates, cylinders or other printing components; plates, cylinders and other printing components; plates, cylinders and lithographic stones",1,No Quantity,,,,,478966,,4093724,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8443,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42; other printers, copying machines and facsimile machines, whether or not combined; parts and accessories thereof.",1,No Quantity,,,,,1088498,,46841099,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8450,"Household or laundry-type washing machines, including machines which both wash and dry.",1,No Quantity,,,,,2461987,,10629127,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8451,"Machinery (other than machines of heading 84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and",1,No Quantity,,,,,171382,,3182262,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8452,"Sewing machines, other than book-sewing machines of heading 84.40; furniture, bases and covers specially designed for sewing machines; sewing machine needles.",1,No Quantity,,,,,873224,,5830798,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8453,"Machinery for preparing, tanning or working hides, skins or leather or for making or repairing footwear or other articles of hides, skins or leather, other than sewing machines.",1,No Quantity,,,,,19137,,372864,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8454,"Converters, ladles, ingot moulds and casting machines, of a kind used in metallurgy or in metal foundries.",1,No Quantity,,,,,114,,5313,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8455,Metal-rolling mills and rolls therefor.,1,No Quantity,,,,,18527,,209426,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8464,"Machine-tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass.",1,No Quantity,,,,,11737,,217695,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8467,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",1,No Quantity,,,,,2063891,,48678461,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8468,"Machinery and apparatus for soldering, brazing or welding, whether or not capable of cutting, other than those of heading 85.15; gas-operated surface tempering machines and appliances.",1,No Quantity,,,,,56129,,1818998,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8472,"Other office machines (for example, hectograph or stencil duplicating machines, addressing machines, automatic banknote dispensers, coin-sorting machines, coin-counting or wrapping machines, pencil-sharpening machines, perforating or stapling machines).",1,No Quantity,,,,,239025,,5845226,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8474,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or moulding solid mineral fuels,",1,No Quantity,,,,,1591082,,14147451,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8475,"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware.",1,No Quantity,,,,,20324,,2218583,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8476,"Automatic goods-vending machines (for example, postage stamp, cigarette, food or beverage machines), including money-changing machines.",1,No Quantity,,,,,27182,,2078980,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8477,"Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.",1,No Quantity,,,,,570122,,6375696,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8478,"Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.",1,No Quantity,,,,,11383,,111444,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter.",1,No Quantity,,,,,1978765,,31822262,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8482,Ball or roller bearings.,1,No Quantity,,,,,890506,,12753328,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8483,"Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including",1,No Quantity,,,,,1007356,,15853987,,,4
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8486,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9 (C) to this Chapter",1,No Quantity,,,,,66093,,2041983,,,0
H3,2010,2010,2010,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,8504,"Electrical transformers, static converters (for example, rectifiers) and inductors.",1,No Quantity,,,,,6292661,,110272529,,,4
