Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0101,"Live horses, asses, mules and hinnies.",1,No Quantity,,,,,12400,,59000,,,0
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0103,Live swine.,1,No Quantity,,,,,80259600,,128792000,,,0
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0104,Live sheep and goats.,1,No Quantity,,,,,1591700,,3932000,,,0
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",1,No Quantity,,,,,1539600,,22084000,,,0
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0106,Other live animals.,1,No Quantity,,,,,,,2981000,,,0
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",1,No Quantity,,,,,12077133,,7435000,,,4
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",1,No Quantity,,,,,1201082,,6116000,,,4
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1,No Quantity,,,,,28309839,,48655000,,,4
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,1504,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.",1,No Quantity,,,,,284444,,1604000,,,4
H3,2010,2010,2010,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,2504,Natural graphite.,1,No Quantity,,,,,,,144000,,,0
