Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,0106,Other live animals.,1,No Quantity,,,,,8441,,121202,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",1,No Quantity,,,,,388,,94407,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",1,No Quantity,,,,,62378,,143578,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1,No Quantity,,,,,6253013,,3847054,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases and other non-metals.",1,No Quantity,,,,,9769130,,2493860,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs.",1,No Quantity,,,,,245362,,2960183,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",1,No Quantity,,,,,34755,,420001,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber.",1,No Quantity,,,,,974555,,541678,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toile",1,No Quantity,,,,,680250,,4437092,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood.",1,No Quantity,,,,,1472861,,1593954,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.",1,No Quantity,,,,,3000589,,1181135,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6112,"Track suits, ski suits and swimwear, knitted or crocheted.",1,No Quantity,,,,,26411,,669131,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6117,"Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.",1,No Quantity,,,,,119551,,2114278,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6207,"Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,274807,,716858,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6208,"Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles.",1,No Quantity,,,,,315438,,586502,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6210,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.",1,No Quantity,,,,,122305,,889587,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6211,"Track suits, ski suits and swimwear; other garments.",1,No Quantity,,,,,321265,,2039507,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6301,Blankets and travelling rugs.,1,No Quantity,,,,,342943,,737262,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6506,"Other headgear, whether or not lined or trimmed.",1,No Quantity,,,,,28677,,300397,,,4
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6602,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",1,No Quantity,,,,,5926,,53969,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like.",1,No Quantity,,,,,15508074,,1249042,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,7007,"Safety glass, consisting of toughened (tempered) or laminated glass.",1,No Quantity,,,,,942528,,2056475,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,7102,"Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,540,,19180,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,7321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel.",1,No Quantity,,,,,2779718,,6569318,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,8211,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",1,No Quantity,,,,,104669,,450106,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,8212,Razors and razor blades (including razor blade blanks in strips).,1,No Quantity,,,,,84553,,1810784,,,0
H3,2010,2010,2010,4,0,1,Import,807,North Macedonia,MKD,0,World,WLD,,,,,,,,8403,Central heating boilers other than those of heading 84.02.,1,No Quantity,,,,,408627,,1515399,,,0
