Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0101,"Live horses, asses, mules and hinnies.",1,No Quantity,0,,,,27199,,895162,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0103,Live swine.,1,No Quantity,0,,,,13087406,,43197763,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0104,Live sheep and goats.,1,No Quantity,0,,,,1004,,3874,,,0
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",1,No Quantity,0,,,,7526602,,27139043,,,2
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0106,Other live animals.,1,No Quantity,0,,,,162447,,1166447,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",1,No Quantity,0,,,,35794196,,2522004,,,4
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",1,No Quantity,0,,,,438844,,3053094,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1,No Quantity,0,,,,7311774,,37454658,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,2202,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.",1,No Quantity,0,,,,,,139799137,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,2203,Beer made from malt.,1,No Quantity,0,,,,91227377,,46948563,,,2
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",1,No Quantity,0,,,,,,89993708,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,2208,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 % vol; spirits, liqueurs and other spirituous beverages.",1,No Quantity,0,,,,13424721,,51374918,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,2804,"Hydrogen, rare gases and other non-metals.",1,No Quantity,0,,,,92959239,,32767693,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs.",1,No Quantity,0,,,,741412,,12285250,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",1,No Quantity,0,,,,65499,,2380926,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber.",1,No Quantity,0,,,,2184814,,7799205,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, insulated food or beverages bags, toile",1,No Quantity,0,,,,5631755,,57353955,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,4403,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared.",1,No Quantity,0,,,,482486012,,40328169,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm.",1,No Quantity,0,,,,87682560,,69477224,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,4412,"Plywood, veneered panels and similar laminated wood.",1,No Quantity,0,,,,28250799,,26665115,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.",1,No Quantity,0,,,,,,40077034,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,5702,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including Kelem, Schumacks, Karamanie and similar hand-woven rugs.",1,No Quantity,0,,,,4359262,,16443165,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,5704,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up.",1,No Quantity,0,,,,853302,,2153095,,,2
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,5905,Textile wall coverings.,1,No Quantity,0,,,,4317,,1844150,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,6104,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",1,No Quantity,0,,,,2227440,,43384838,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,6105,"Men's or boys' shirts, knitted or crocheted.",1,No Quantity,0,,,,689619,,14859487,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,6107,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",1,No Quantity,0,,,,1122737,,24745648,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,6108,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted.",1,No Quantity,0,,,,1354433,,32453379,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,6112,"Track suits, ski suits and swimwear, knitted or crocheted.",1,No Quantity,0,,,,555062,,11487834,,,6
H3,2010,2010,2010,4,0,1,Import,703,Slovakia,SVK,0,World,WLD,,,,,,,,6117,"Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.",1,No Quantity,0,,,,1174971,,26155476,,,6
