HS4,Name4,,
101,马、驴、骡,,
102,牛,,
103,猪,,
104,绵羊、山羊,,
105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,,
106,其他活动物,,
201,鲜、冷牛肉,,
202,冻牛肉,,
203,鲜、冷、冻猪肉,,
204,鲜、冷、冻绵羊肉或山羊肉,,
205,鲜、冷、冻马、驴、骡肉,,
206,鲜、冷、冻牛、猪、绵羊、山羊、马、驴、骡的食用杂碎,,
207,品目0105所列家禽的鲜、冷、冻肉及食用杂碎,,
208,其他鲜、冷、冻肉及食用杂碎,,
209,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪及家禽脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,,
210,肉及食用杂碎，干、熏、盐腌或盐渍的；可供食用的肉或杂碎的细粉、粗粉,,
301,活鱼,,
302,鲜、冷鱼，但品目03.04的鱼片及其他鱼肉除外,,
303,冻鱼，但品目0304的鱼片及其他鱼肉除外,,
304,鲜、冷、冻鱼片及其他鱼肉（不论是否绞碎）,,
305,干、盐腌或盐渍的鱼；,熏鱼，不论在熏制前或熏制过程中是否烹煮；,适合供人食用的鱼的细粉、粗粉及团粒
306,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳甲壳动物；蒸过或用水煮过的带壳甲壳动物；可供人食用的甲壳动物的细粉、粗粉及团粒,,
307,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳软体动物；可供人食用的软体动物的细粉、粗粉及团粒,,
308,不属于甲壳动物及软体动物的水生无脊椎动物，活、鲜、冷、冻、干、盐腌或盐渍、熏制的；可供人食用的不属于甲壳动物及软体动物的水生无脊椎动物的细粉、粗粉及团粒,,
401,未浓缩及未加糖或其他甜物质的乳及稀奶油,,
402,浓缩、加糖或其他甜物质的乳及稀奶油,,
403,酪乳、结块的乳及稀奶油、乳酸、酸乳酒及其发酵或酸化的乳和稀奶油，不论是否浓缩、加糖、加其他甜物质、加香料、加水果、加坚果或加可可,,
